Pre0-Post1	Name	Broketrodes	Hello	TOVA	Vigilance	Saliency	Goodbye
0	1001		B32, D3, B7, B8, B9	B32, D3, B7, B8, B9, A26	B32, D3, B7, B8, B9	B32, D3, B7, B8, B9, A26, A28	B32, D3, B7, B9, A26, A28, B9
0	1002		B32	B32	B32	B32	B32
0	1003		A28, B32, A26	A28, B32, B8	A28, B32, B8, A12	A28, B32, B8, A12	A28, B32, B8, B14
0	1007		B32,A28, D3, D8	B32,A28, D3, D8	B32,A28, D3, D8, B30, A5	B32,A28, D3, D8	B32,A28, D3, D8
0	1012		A28, B3, D3	A28, B3, D3	A28, B3, D3	A28, B3, D3	A28, B3, D3
0	1015		A28, B32, D3, D23, D11, B31, B8, B9, C11, D21, D22	A28, B32, D3, D23, D11, B31, B8, B9, D22	A28, B32, D3, D23, D11, B31, B8, B9	A28, B32, D3, D23, D11, B31, B8, B9	A28, B32, D3, D23, D11, B31, B8, B9
0	1017	A28, B32	A28, B32, C17, A25, C17	A28, B32	A28, B32	A28, B32, C6, C5, C4	A28, B32
0	1019		A24, C14, C15, C18, C19, C20, C21, C22, C23, C30, C31, C32, D5	A24, A25, D30, B27, C19, C21, C22, C30, C32	B27, D30, C21, C22, C30, C32	A24, A25	A22, A23, A24, A25, D29
0	1023		B32, A28	B32, A28	B32, A28	B32, A28	B32, A28, D30, D24, D31, D32
0	1024		D3, B3, B32, A28, B30, B17, B14, B10	D3, B3, B32, A28, B30, B17, B14, B10	D3, B3, B32, A28, B30, B17, B14, B10		
0	1025		D3, A28, B32, B19, B2	D3, A28, B32, B19, B2	D3, A28, B32, B19, B2	D3, A28, B32, B19, B2	D3, A28, B32, B19, B2
0	1026	B32	A5, B23, B24, B25, B26, B27, B28, C4, C5, C6, C7, D6, D7, D22, D23		A28, A29, A30, A31, A32	A23, A24, A25, A26, A27, C30, D6, D7, D8, D9, D23	A30, A31, A32, C30, D23
0	1027		A28	A28	A28	A28	A28
0	1029		A28, B32, D3, A6	A28, B32, D3, A6, A20	A28, B32, D3, A6, A20, D24	A28, B32, D3, A6	A28, B32, D3, A6, A20
0	1033		B32, D3, D20, D25	B32, D3, D20, D25	B32, D3, D20, D25	B32, D3, D20, D25	B32, D3, D20, D25
0	1034		B32, A11	B32, B26, B28, A11	B32, B26, B28, A11	B32, B26, B28, A11	B32, B28, B10, B26
0	1035		A28, B32, D3, B14	A28, B32, D3, B14	A28, B32, D3, B14	A28, B32, D3, B14	A28, B32, D3, B14
0	1036	B32, D3					
0	1041		B32, D22	B32, D22	B32, A25	B32, A25	B32, A25
0	1042		A28, B32	A28, B32	A28, B32	A28, B32	A28, B32, A23
0	1045		C6, C7, B32, A28, D3, D17, D5	C6, C7, B32, A28, D3, D17, D5	C6, C7, B32, A28, D3, D17, D5	C6, C7, B32, A28, D3, D17, D5, B27, C5	C6, C7, B32, A28, D3, D17, D5
0	1048		A28, B32	A28, B32, D21	A28, B32, A30	A28, B32	A28, B32
0	1050	B32					
0	1051	B32	A16, B8, B25, B32, C21, D8, D23	C30, D8, D23, B32	B32, D8, A12, A4, A5	B32, D8	B32, D8
0	1052		B32	B32	B32	B32	B32
0	1053		B32, D3, A31, B30, C5, C6, D25,  B30, B14, B15	B32, D3, A31, B30, C5, C6, D25, B25, B26, A30	B32, D3, A31, B30, C5, C6, D25, B25, B26, A30	B32, D3, A31, B30, C5, C6, D25, A30, B25, B26	B32, D3, A31, B30, C5, C6, D25, A30, B25, B26
0	1054		B32	B32, D16	B32	B32	B32
0	1055		D3, B32, A16, B8, A20, A26, A12, A27	D3, B32, A16, A20, A21, B8	D3, B32, A16, B14, B15, B8, A26	D3, B32, A16, B12, B15, B8	D3, B32, A16, B8, A26, B15, B12
0	1056		B32, C30	B32, C30	B32, C30	B32, C30, A22, A23	B32, A22, A23, B5, C30
0	1057		A28, B32	A28, B32	A28, B32	A28, B32	A28, B32
0	1058	B32	33:64	A1, A30, B17, B18, B19, B20, B21, B22, B23, B32	B32	B15, B16, B17, B18, B20, B21, B22, B23, B32	B32
0	1059		A28, D3, B32	A28, D3, B32, D24, D31, D32	A28, D3, B32, D24, D31, D32	A28, D3, B32, D24, D31, D32	A28, D3, B32, D30
0	1060		A28, B32, B6, A8, A9, A10, B8, A25, A27	A28, B32, B6, A8, A9, A10, B8, A25, A27	A28, B32, B6, A8, A9, A10, B8, A25, A27	A28, B32, B6, A8, A9, A10, B8, A25, A27	A28, B32, B6, A8, A9, A10, B8, A25, A27
0	1061		B32, A31, C3, C11, C12, B16, B10	B32, A31, C3, C11, C12, B16, B10	B32, A31, C3, C11, C12, B16, B10	B32, A31, C3, C11, C12, B16, B10	B32, A31, C3, C11, C12, B16, B10
0	1062		B32, C8	B32, C8	B32, C8	B32, C8	B32, C8
0	1063	B32	B32, B26	B32, B26	B32	B32	B32, C8
0	1064	A28, B32					
0	1065		B32, B26, B28, C5, B3	B32, B26, B28, C5, B27	B32, B26, B28, C5, C3, B27	B32, B26, B28, C5, B27, C3	B32, B26, B28, C5, C3, B27
0	1066		B32	B32	B32	B32	B32
0	1067		B32, D3, D24, D21, D22, D31, B1	B32, D3, D21, D24, B1	B32, D3, D21, D24, B1	B32, D3, D21, D24, C20, B1	B32, D3, D24, D21, B1, C31
0	1068		A28, B32, D19, B30	A28, B32, D19, B30	A28, B32, D19, B30, D25	A28, B32, D19, B30, D25, B24, B22	A28, B32, D19, B30, B24
0	1069		B32, C17, A30, D9, A23, A24, A25	B32, C17, A30, D9	B32, C17, A30, D9	B32, C17, A30, D9	B32, C17, A30, D9
0	1070		B32	B32	B32	B32	B32
0	1072		B32, B21	B32, B21	B32, B21	B32, B21	B32, B21
0	1073	B32	B32	B32	B32	B32, C15	B32, D23
0	1074		B3, B32, D3	B3, B32, D3	B3, B32, D3	B3, B32, D3	B3, B32, D3
0	1075				C30, C31, C32		C6, C7, C8, C9, C10, C29, C30, C31, C32
0	1076	A32, B8, B9, B32					
0	1077		B32, B19, B20	B32, B19, B20	B32	B32, B19, B20	
0	1078	A28, B32, B3, D3					
0	1079	B26, B32		D16	D16	D16	D16
0	1080	B32	A14, A15	A14, A15			
0	1081	B31, B32	B32, B31, C10, C14	B32, B31, C10, C14, C12	B32, B31, C2	B32, B31, C2, A1	B32, B31, C2, A1
1	1001	C1, C32, D1, D3, D32		B26, B27, B28, C8		A5, B26, B27, C8, C30, D25	
1	1002	C1, D1, D3, D32					
